commune,population,area_km2,residential_value_billion_fcfa,commercial_value_billion_fcfa,infrastructure_value_billion_fcfa,flood_risk_zone
Cocody,687492,571.1,850,320,180,Élevé
Yopougon,1982500,311.0,1200,180,120,Élevé
Adjamé,431009,53.7,320,150,80,Modéré
Port-Bouët,372874,257.4,280,90,95,Extrême
Attécoubé,407424,68.1,180,45,25,Élevé
Plateau,16844,22.0,450,890,340,Faible
Treichville,124821,16.0,220,420,160,Modéré
Marcory,184041,38.0,190,85,45,Modéré
Koumassi,434329,95.0,280,65,35,Modéré
Abobo,1383068,217.0,650,120,85,Élevé
